x: -0.34758025000000004, y: -0.5039775000000004, z: 0.4913144999999943
x: 0.41543365000000065, y: -0.12474800000000119, z: 1.1214724999999959
x: -0.3422211500000003, y: 0.4448624999999993, z: 0.5785744999999949
x: -0.6664194999999999, y: -0.05207550000000083, z: 0.6125274999999988
x: 0.07880205000000018, y: 0.21769649999999885, z: -0.5333655000000022
x: -0.04893049999999732, y: 0.3656689999999987, z: -0.5043804999999963
x: 0.4507796000000006, y: -0.28992650000000175, z: -0.6146175000000085
x: -0.3445603999999989, y: 1.0822569999999994, z: -0.13764749999999992
x: 0.029146650000001273, y: 0.9881994999999995, z: -0.2051725000000033
x: -0.7090086500000012, y: 0.17540199999999828, z: -0.33390600000000603
x: 0.4311586500000004, y: -0.22182050000000153, z: -1.028956000000008
x: 0.15549350000000217, y: -0.39973100000000095, z: 1.071972499999987
x: -0.3431588999999988, y: -0.17819800000000185, z: -0.692837499999996
